job_title,required_skills,responsibilities,experience_required,education_required,candidate_skills,matched_score
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,0.716666667
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,0.65
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,0.7600000000000001
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,0.816666667
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","3D Modeling, Architectural Drafting, Autocad, Read Blueprints, Carpentry, Detail Oriented, Drafting, Floor Plans, Frame, 3dsmax, Mechanical, Messaging, Microsoft Office Applications, Multi-tasking, Painting, Problem Solving Skills, Reading, Renovation, Revit, Self-motivated, Supervisor",0.783333333
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","3d, Accounting, Accountant, Accounts Receivables, Adobe Illustrator, Adobe Photoshop, Pagemaker, Audio Editing, Auditing, Banking, Book, Budget Preparation, Contracts, Cost Analysis, Credit, Clients, Debit, Dec, Documentation, Dos, Senior Management, Finance, Financial, Financial Management, Preparation of Financial Statements, HR, Inspection, Inventory, Inventory Control, Macro Media Director, MS Office, 2K, Windows 9.x, Works, MIS, Modeling, Developer 2000, Oracle 8I, Oracle, Payroll, Policies, Reporting, Sales, Tax, Video Editing",0.5666666666666667
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","API, ATL, Audio, Backup, Broadcast, C++, CLI, Hardware, Concept, Content Management, Content, Client, Clients, Documentation, Dynamic HTML5, Editing, XML, FTP, Functional, Drawing, Ids, Explorer, JavaScript, JSON, LAN, MB, Access, C#, MFC, Win, Windows, NAS, OOP, Proxy, Rendering, SAN, Scrum, Servers, Specification, Team Management, Threads, Troubleshoot, Video, Video Editing, Visual C++",0.65
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","API, Approach, ATL, Audio, Backup, Bridges, Broadcast, C++, CLI, CA, Hardware, Concept, Content, CSS, Documentation, Editing, XML, FTP, Drawing, GUI, Hiring, HTML5, HR, Ids, Explorer, JavaScript, JSON, LAN, Team Building, MB, Memory, Mentoring, C#, MFC, Office, Windows, Window, Migration, NAS, OOP, Performance Reviews, Personnel, Proxy, Rendering, SAN, Scrum, Servers, Software Development, Team Management, Threads, Video, Video Editing, Visual C++, Workflow, Writer",0.826666667
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","API, Approach, ATL, Audio, Backup, Broadcast, C++, CLI, CA, Hardware, Concept, Content, Clients, Documentation, Dynamic HTML5, Editing, XML, FTP, Functional, Drawing, GUI, Ids, Innovation, Explorer, IP, JavaScript, JSON, LAN, MB, C#, MFC, Office, Win, Windows, Migration, NAS, OOP, Proxy, Rendering, SAN, Scrum, Servers, Specification, Team Management, Threads, Troubleshoot, Video, Video Editing, Visual C++, Workflow, Writer",0.716666667
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","ASP.NET 4.5, Academic, Clustering, Consulting, Curriculum Development, Customer Satisfaction, Data Analysis, Data Mining, Data Warehouse, Databases, Database, Database Design, Database Management, Data Warehousing, Environmental Protection, Environmental Science, GIS, HTML, Instructor, Lecturer, Legal, Machine Learning, Managing, Materials, Meetings, C#, Microsoft SQL, Modeling, Natural, Oracle, Process Development and Engineering, Processes, Progress, Python, Quality, Researching, Research, SAS, Shipping, SPSS, SQL, Statistics, Tableau, Teaching, Technical Support, Workshops",0.85
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Abila MIP Fund Accounting Software, Quickbooks, Quickbooks Pro, Quicken",0.4833333333333334
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Academic, Acrylic, Autocad, CAD, Concept, Engineer-in-training, EIT, Estimating, Drawing, Graphics and Design, Laser, Material Science, Microsoft Excel, Microsoft Powerpoint, Microsoft Word, Design Process, Progress, Project Management, Proposals, Reporting, Research, Robotics, Safety, Solidworks, Statistics, Time Management, Verbal Communication Skills, Weighing, Written",0.726666667
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Academic, Autocad, Banking, Basic, Calculus, Credit, Database, Database Management System, Engineer, Experiments, GUI, LASER, Layout, Materials, MATLAB, Mechanical Engineering, Excel, Microsoft Office, Outlook, Power Point, Word, MySQL, Optimization, Physics, Police, Progress, Research, Retail, Scheduling, Statistics, VBA",0.78
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Academic, Documentation, Edge, Fiber Optics, Laser, Mechanical, Scanning",0.783333333
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Access Database Queries & Data Mining, Oracle Experience, Sharepoint Use Experience, STAT- FSI Track, Ultra Tax, Quickbooks",0.6833333333333332
AI Engineer,"Python, R or Java, TensorFlow, PyTorch, Scikit-learn","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.","Account Reconciliation, Accounting, Accountant, Accounting System, AR, Budget, Business Objects, Closing, Contracts, Financial, Financial Analysis, Financial Controls, Financial Operations, Financial Reports, Financial Statements, GL, Grants, Inventory, Invoicing, Ledger, Macros, Access, Excel, Microsoft Office, Office, Outlook, Powerpoint, Word, Monitors, Operating Systems, Peoplesoft, Policies, Processes, Procurement, Reporting, Research, SAP, Sarbanes-oxley, Training Materials, View",0.5499999999999999
